trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-10-18 21:17:16,1589858593522130,fraud_Kling-Simonis,grocery_pos,53.95,Elizabeth,Jones,M,8422 Miller St,Phoenix,AZ,10769,41.606,-73.0724,1680992,Salesperson,1954-10-19,d2a640cbcf,1603036036,41.4075,-73.0046,0
2020-09-12 10:55:57,3387312331572728,fraud_Kunde-Reinger,kids_pets,8.8,Michael,Williams,F,8938 Jones St,Dallas,TX,90038,25.3051,-72.8899,1343573,Accountant,1959-09-13,c574d88822,1599888357,25.3883,-72.8614,0
2020-03-12 10:55:31,8786971329279081,fraud_Nader-Gaylord,misc_net,50.28,Jennifer,Johnson,F,6973 Johnson St,San Jose,CA,42606,46.2031,-115.5754,1021795,Teacher,1950-03-13,2ea3cb1799,1583990731,46.2217,-115.7458,0
2020-10-22 08:43:39,1210388916674374,fraud_Cruickshank-Mills,grocery_net,6.32,Elizabeth,Smith,M,2127 Garcia St,San Diego,CA,58190,43.7556,-84.6571,1423851,Salesperson,1975-10-23,9e221308c8,1603336419,43.5991,-84.4711,0
2019-05-18 20:20:49,8286621309728866,fraud_Ledner-Goodwin,misc_net,17.22,Elizabeth,Miller,F,8254 Williams St,New York,NY,18110,41.4046,-81.9607,8336817,Writer,1960-05-18,926415adcc,1558191049,41.2481,-81.9784,0
2019-09-13 10:35:11,4159877229845910,fraud_Reinger Group,gas_transport,14.21,Patricia,Davis,F,3257 Johnson St,San Jose,CA,74044,31.7996,-114.7253,1021795,Writer,1940-09-13,8fee45ed1a,1568351111,31.8511,-114.9049,0
2019-10-02 03:22:27,8342102356390536,fraud_Bauch-Goldner,shopping_pos,13.72,John,Williams,F,763 Miller St,San Diego,CA,78840,34.2882,-116.7554,1423851,Nurse,1946-10-02,678cc2aaba,1569966747,34.2313,-116.8599,0
2019-05-14 04:11:45,6609238802118269,"fraud_Heller, Moore and Reinger",personal_care,2.18,Michael,Wilson,M,5891 Miller St,San Antonio,TX,80467,26.8596,-101.5173,1547253,Manager,1991-05-14,a71e4d4a60,1557787305,26.697,-101.3871,0
2020-02-12 13:31:38,6871092390541219,fraud_Kunde-Reinger,gas_transport,2.46,Robert,Brown,F,3011 Davis St,Houston,TX,18680,40.8916,-100.6632,2320268,Accountant,1972-02-12,7982f92906,1581494498,40.9277,-100.5135,0
2019-08-23 17:48:09,3950539853010223,fraud_Ledner-Goodwin,personal_care,871.63,Michael,Jones,F,7258 Rodriguez St,Dallas,TX,52642,41.697,-75.1445,1343573,Developer,1966-08-23,bcf3b9b867,1566562689,41.8552,-75.3162,0
